metodo,butterworth,suavizado,ventana_s,shift_s,n_celdas,Pearson,Spearman,MAE_dB,RMSE_dB,bias_rec_menos_fa_dB
welch,False,sin_suavizado,0,0,118380,0.4092147265551989,0.33303967731108264,7.890390125421507,10.287474478034508,3.9192564999838244
welch,False,sin_suavizado,0,1,117600,0.41330217543872183,0.33659566337598257,7.8614836464123306,10.242709027385578,3.893845394285949
welch,False,sin_suavizado,0,2,117000,0.4159868594689763,0.3396786287901972,7.840564645620653,10.222622321608215,3.8772908003771813
welch,False,sin_suavizado,0,3,116580,0.41779436462780306,0.34201947433042573,7.820485400840338,10.205598626612588,3.8605967332920947
welch,False,sin_suavizado,0,4,116280,0.42204862267363696,0.3464673883726529,7.784939178541135,10.164374794587927,3.838765285466897
welch,False,sin_suavizado,0,5,116100,0.42747423369408205,0.35293116033717525,7.759299134773862,10.144949378816035,3.851218978962762
welch,False,sin_suavizado,0,6,115740,0.4348573709374417,0.36130318468184575,7.713771549690826,10.10258350297118,3.846431868266413
welch,False,sin_suavizado,0,7,115380,0.44177567523216615,0.36969977374050106,7.674854855905757,10.06960096844872,3.8523910242242656
welch,False,sin_suavizado,0,8,115080,0.4489012819483665,0.3782524111970453,7.621907616052223,10.02136324962407,3.836975908458005
welch,False,sin_suavizado,0,9,114780,0.45729749602683245,0.3876412140364148,7.575958340777381,9.973843090499459,3.833756340407239
welch,False,sin_suavizado,0,10,114540,0.4654123896425037,0.3972027215268424,7.524858921661501,9.926241288805961,3.8345517092409724
welch,False,sin_suavizado,0,11,114360,0.47337138288509195,0.406691228775154,7.481391555840087,9.886116439482457,3.844463468365012
welch,False,sin_suavizado,0,12,114180,0.4809394463432589,0.4155662042476063,7.443081342122616,9.848279993415723,3.853361292754176
welch,False,sin_suavizado,0,13,113940,0.4884035114132522,0.42398378650784546,7.404591464221846,9.80848261700203,3.855955973150915
welch,False,sin_suavizado,0,14,113700,0.4963330407396397,0.4315765911230924,7.362323159332296,9.750786406826467,3.8496379419947875
welch,False,sin_suavizado,0,15,113520,0.5022025941589869,0.43714380688101645,7.329578537565709,9.704599938853363,3.8457920980655196
welch,False,sin_suavizado,0,16,113400,0.5084182834736278,0.4433675047972474,7.302684702759988,9.665945346855294,3.8508074512062844
welch,False,sin_suavizado,0,17,113280,0.5129522522078613,0.447886780009622,7.2843003921174745,9.63791317804534,3.857385142963817
welch,False,sin_suavizado,0,18,113100,0.5175355021319238,0.45234872917210545,7.263735483455312,9.607990485464182,3.85802374593852
welch,False,sin_suavizado,0,19,112980,0.5242865906781166,0.4569314981309546,7.23580849966388,9.550449862337393,3.8454740588351473
welch,False,sin_suavizado,0,20,112920,0.5249306344167255,0.4568829062623339,7.2291520666598785,9.538095958921824,3.8446749961237634
welch,False,sin_suavizado,0,21,112740,0.5244826715232037,0.4564272887796681,7.224693230272234,9.525505069636953,3.8567503226012665
welch,False,sin_suavizado,0,22,112500,0.5232694604318626,0.45445363930479393,7.220643380838005,9.51600032806639,3.864253268367246
welch,False,sin_suavizado,0,23,112260,0.5192446541600001,0.4516147172773403,7.231384808933109,9.542077843726695,3.8856433169273754
welch,False,sin_suavizado,0,24,112020,0.5208293484286362,0.4513136356452417,7.217170137765716,9.50130180613917,3.8711082197617683
welch,False,sin_suavizado,0,25,111900,0.5195102457071604,0.4494007494445397,7.229020440220393,9.509484479296438,3.871215561842515
welch,False,sin_suavizado,0,26,111720,0.5170619845931409,0.4465427343395639,7.236483762596434,9.510272356910864,3.8860700094991683
welch,False,sin_suavizado,0,27,111480,0.514329390925056,0.4427397122720439,7.25155607466623,9.521755932406082,3.888169106914363
welch,False,sin_suavizado,0,28,111240,0.5076731795990139,0.43699708637036627,7.281659038530656,9.568104761728492,3.9047242468435805
welch,False,sin_suavizado,0,29,111000,0.5070979307475217,0.4345240135227052,7.2948278860827225,9.567435549820436,3.88567220256457
welch,False,sin_suavizado,0,30,110820,0.5045222417916712,0.4316412819056036,7.308415173763189,9.579414760213155,3.8594859619571777
welch,False,rolling,1,0,118380,0.4092147265551989,0.33303967731108264,7.890390125421507,10.287474478034508,3.9192564999838244
welch,False,rolling,1,1,117600,0.41330217543872183,0.33659566337598257,7.8614836464123306,10.242709027385578,3.893845394285949
welch,False,rolling,1,2,117000,0.4159868594689763,0.3396786287901972,7.840564645620653,10.222622321608215,3.8772908003771813
welch,False,rolling,1,3,116580,0.41779436462780306,0.34201947433042573,7.820485400840338,10.205598626612588,3.8605967332920947
welch,False,rolling,1,4,116280,0.42204862267363696,0.3464673883726529,7.784939178541135,10.164374794587927,3.838765285466897
welch,False,rolling,1,5,116100,0.42747423369408205,0.35293116033717525,7.759299134773862,10.144949378816035,3.851218978962762
welch,False,rolling,1,6,115740,0.4348573709374417,0.36130318468184575,7.713771549690826,10.10258350297118,3.846431868266413
welch,False,rolling,1,7,115380,0.44177567523216615,0.36969977374050106,7.674854855905757,10.06960096844872,3.8523910242242656
welch,False,rolling,1,8,115080,0.4489012819483665,0.3782524111970453,7.621907616052223,10.02136324962407,3.836975908458005
welch,False,rolling,1,9,114780,0.45729749602683245,0.3876412140364148,7.575958340777381,9.973843090499459,3.833756340407239
welch,False,rolling,1,10,114540,0.4654123896425037,0.3972027215268424,7.524858921661501,9.926241288805961,3.8345517092409724
welch,False,rolling,1,11,114360,0.47337138288509195,0.406691228775154,7.481391555840087,9.886116439482457,3.844463468365012
welch,False,rolling,1,12,114180,0.4809394463432589,0.4155662042476063,7.443081342122616,9.848279993415723,3.853361292754176
welch,False,rolling,1,13,113940,0.4884035114132522,0.42398378650784546,7.404591464221846,9.80848261700203,3.855955973150915
welch,False,rolling,1,14,113700,0.4963330407396397,0.4315765911230924,7.362323159332296,9.750786406826467,3.8496379419947875
welch,False,rolling,1,15,113520,0.5022025941589869,0.43714380688101645,7.329578537565709,9.704599938853363,3.8457920980655196
welch,False,rolling,1,16,113400,0.5084182834736278,0.4433675047972474,7.302684702759988,9.665945346855294,3.8508074512062844
welch,False,rolling,1,17,113280,0.5129522522078613,0.447886780009622,7.2843003921174745,9.63791317804534,3.857385142963817
welch,False,rolling,1,18,113100,0.5175355021319238,0.45234872917210545,7.263735483455312,9.607990485464182,3.85802374593852
welch,False,rolling,1,19,112980,0.5242865906781166,0.4569314981309546,7.23580849966388,9.550449862337393,3.8454740588351473
welch,False,rolling,1,20,112920,0.5249306344167255,0.4568829062623339,7.2291520666598785,9.538095958921824,3.8446749961237634
welch,False,rolling,1,21,112740,0.5244826715232037,0.4564272887796681,7.224693230272234,9.525505069636953,3.8567503226012665
welch,False,rolling,1,22,112500,0.5232694604318626,0.45445363930479393,7.220643380838005,9.51600032806639,3.864253268367246
welch,False,rolling,1,23,112260,0.5192446541600001,0.4516147172773403,7.231384808933109,9.542077843726695,3.8856433169273754
welch,False,rolling,1,24,112020,0.5208293484286362,0.4513136356452417,7.217170137765716,9.50130180613917,3.8711082197617683
welch,False,rolling,1,25,111900,0.5195102457071604,0.4494007494445397,7.229020440220393,9.509484479296438,3.871215561842515
welch,False,rolling,1,26,111720,0.5170619845931409,0.4465427343395639,7.236483762596434,9.510272356910864,3.8860700094991683
welch,False,rolling,1,27,111480,0.514329390925056,0.4427397122720439,7.25155607466623,9.521755932406082,3.888169106914363
welch,False,rolling,1,28,111240,0.5076731795990139,0.43699708637036627,7.281659038530656,9.568104761728492,3.9047242468435805
welch,False,rolling,1,29,111000,0.5070979307475217,0.4345240135227052,7.2948278860827225,9.567435549820436,3.88567220256457
welch,False,rolling,1,30,110820,0.5045222417916712,0.4316412819056036,7.308415173763189,9.579414760213155,3.8594859619571777
welch,False,rolling,5,0,118380,0.5137635055768008,0.4230611157001635,6.0327298032521846,8.204215445303822,3.879425210074631
welch,False,rolling,5,1,118080,0.5178380507927816,0.42865322798146127,6.001957363250236,8.175580445848002,3.868487408284207
welch,False,rolling,5,2,117840,0.5231235125775376,0.4357799109762795,5.964797062446717,8.142286928523815,3.8591626504066987
welch,False,rolling,5,3,117600,0.5294258824135608,0.44435286012081815,5.922310586289257,8.105786797221638,3.8548618234101477
welch,False,rolling,5,4,117360,0.5369621150829902,0.4546497677383304,5.872045859034244,8.063187215873533,3.851026248720056
welch,False,rolling,5,5,117120,0.5456341062538275,0.4663947945075061,5.8187623593666435,8.017527033220636,3.8508699583105
welch,False,rolling,5,6,116880,0.5548167930118667,0.4787638238914787,5.760675615554511,7.966524903006405,3.849707823919127
welch,False,rolling,5,7,116640,0.5644720892798898,0.4916407870310021,5.7017033663174574,7.9127676113799,3.8499767799089666
welch,False,rolling,5,8,116400,0.5745173051085958,0.5047251460867214,5.641253142985307,7.8551474951785405,3.8498614406285343
welch,False,rolling,5,9,116160,0.5847638697252572,0.5178097770889567,5.58401771038663,7.798358755481816,3.8528468290186275
welch,False,rolling,5,10,115920,0.5949280182466901,0.5304375464363503,5.528340275258601,7.739834205815034,3.8542109674382794
welch,False,rolling,5,11,115740,0.6040604732536942,0.5415053485360651,5.481664720978681,7.686263984519395,3.856402720122753
welch,False,rolling,5,12,115560,0.6134702478977977,0.5521814265813396,5.437524365246275,7.628087902341954,3.8562493318960707
welch,False,rolling,5,13,115440,0.6221960588085901,0.5614808735479607,5.399194197609883,7.571481679540073,3.8555754617049027
welch,False,rolling,5,14,115320,0.6302615097154636,0.5695190720544412,5.364388084994289,7.5143732717336045,3.852526830268475
welch,False,rolling,5,15,115200,0.6375612337663423,0.5763737659587426,5.336658015832116,7.462672296891874,3.8485242898409777
welch,False,rolling,5,16,115080,0.6433217896599212,0.5814625904566505,5.319256291508394,7.424810152796197,3.848210914404085
welch,False,rolling,5,17,114960,0.6471279147614126,0.5844361483246137,5.311432851708619,7.400843006995443,3.8500384666138237
welch,False,rolling,5,18,114780,0.6494218453694874,0.5855449147400341,5.307164628474376,7.381151054749214,3.850401107147721
welch,False,rolling,5,19,114600,0.6497068443957457,0.5846169005608369,5.309247104922672,7.373360180560777,3.8536483056396307
welch,False,rolling,5,20,114420,0.6495787847501836,0.583027332116334,5.308044041820582,7.357992181517099,3.856734656646771
welch,False,rolling,5,21,114240,0.6493181369894746,0.5812282161995532,5.309197523480705,7.345306754874263,3.8631429002425444
welch,False,rolling,5,22,114060,0.6481688073039986,0.5784581214039675,5.3153330682332305,7.340573856660455,3.869345792504954
welch,False,rolling,5,23,113880,0.6463718315302291,0.5749159065130448,5.326238898591172,7.342433984041019,3.873529298826352
welch,False,rolling,5,24,113700,0.6429889858100772,0.5701939935884758,5.34669512913079,7.362419531620533,3.8774453353354037
welch,False,rolling,5,25,113520,0.6393701368646482,0.5648462134750668,5.370609050635756,7.384719904890662,3.880634161185043
welch,False,rolling,5,26,113340,0.6359402428466461,0.5597037138160589,5.389401150919537,7.40002316285508,3.8794419632803727
welch,False,rolling,5,27,113160,0.632183879370728,0.5541974307520898,5.407536031565112,7.416869783581456,3.87090619322351
welch,False,rolling,5,28,113040,0.628230335211327,0.5484165195156774,5.429754343770564,7.43776588583436,3.8593096241200393
welch,False,rolling,5,29,112920,0.6240603255513045,0.5428245041751438,5.451748745481741,7.460784345379226,3.8452886412377434
welch,False,rolling,5,30,112800,0.6184301807432258,0.5361935521166518,5.483964469804877,7.499912628449977,3.8308374061603283
welch,False,rolling,10,0,118380,0.562078401104147,0.4797444486007541,5.481380812441486,7.620382608218801,3.863602983060874
welch,False,rolling,10,1,118080,0.5694381599331584,0.4901641078709005,5.431836183263923,7.57558394337951,3.8570068714006145
welch,False,rolling,10,2,117840,0.5772960739715755,0.5015115905140636,5.380849148344201,7.530174532977576,3.853264844223343
welch,False,rolling,10,3,117600,0.5860009744285635,0.513918306254582,5.325978946182091,7.480046719890974,3.8515074183568614
welch,False,rolling,10,4,117360,0.5955449886063673,0.5273161078558832,5.268000789194437,7.4259790239237535,3.851039333457128
welch,False,rolling,10,5,117120,0.6056518414154958,0.5412313835440622,5.208594228577767,7.368711557349573,3.851068626038557
welch,False,rolling,10,6,116940,0.6153864354386989,0.554481580065377,5.152330814460822,7.31242960840573,3.85168050312709
welch,False,rolling,10,7,116760,0.6257686121404273,0.5680294589668697,5.096410385810749,7.250811593708395,3.8511722470578706
welch,False,rolling,10,8,116640,0.6358315340470312,0.5808080050406516,5.045067564239202,7.190042546253879,3.850152212419081
welch,False,rolling,10,9,116520,0.6455623719018656,0.5927430951812962,4.9992491468182685,7.131120581024929,3.8498549458084015
welch,False,rolling,10,10,116400,0.6548377700256283,0.6036973792843787,4.958393383955521,7.073915377946277,3.848898923954063
welch,False,rolling,10,11,116280,0.6630554094825352,0.6130577691205698,4.924853340839135,7.022027010483029,3.8478766824070028
welch,False,rolling,10,12,116160,0.6699238304197953,0.6205792910098487,4.900316172190363,6.978428983072121,3.8473622125759164
welch,False,rolling,10,13,116040,0.6755918629162303,0.6262679389240667,4.882472521897141,6.940037788247976,3.8465378028564516
welch,False,rolling,10,14,115920,0.6797955712070167,0.6301374253928749,4.870572521723207,6.9089121280495025,3.84598772079514
welch,False,rolling,10,15,115800,0.6830277119417729,0.6326475902865053,4.864645634249541,6.883337804594477,3.845642095027289
