Tiempo_s,Canal_1,Canal_2
1.9141,-2583,-3509
1.9219,-2566,-3580
1.9297,-2703,-3572
1.9375,-2601,-3378
1.9453,-2729,-3158
1.9531,-2888,-3318
1.9609,-2659,-3420
1.9688,-2604,-3215
1.9766,-2697,-3376
1.9844,-2683,-3540
1.9922,-2679,-3189
2.0000,-2600,-3136
2.0078,-2599,-3115
2.0156,-2624,-3018
2.0234,-2519,-3235
2.0312,-2545,-3294
2.0391,-2750,-3008
2.0469,-2490,-3090
2.0547,-2292,-3216
2.0625,-2388,-2965
2.0703,-2314,-3170
2.0781,-2375,-3342
2.0859,-2488,-3085
2.0938,-2448,-3002
2.1016,-2384,-2903
2.1094,-2373,-3103
2.1172,-2479,-3354
2.1250,-2470,-3122
2.1328,-2206,-2947
2.1406,-2138,-2900
2.1484,-2331,-2917
2.1562,-2313,-3065
2.1641,-2256,-3212
2.1719,-2361,-3117
2.1797,-2499,-3093
2.1875,-2611,-3052
2.1953,-2553,-3207
2.2031,-2404,-3296
2.2109,-2471,-2992
2.2188,-2358,-2882
2.2266,-2267,-3187
2.2344,-2430,-3174
2.2422,-2273,-2951
2.2500,-2057,-3042
2.2578,-2010,-3246
2.2656,-1770,-3042
2.2734,-2171,-3020
2.2812,-2565,-2909
2.2891,-2017,-2814
2.2969,-1803,-2801
2.3047,-2096,-3116
2.3125,-2039,-3135
2.3203,-2062,-2916
2.3281,-2218,-2806
2.3359,-1812,-3029
2.3438,-1983,-3105
2.3516,-2354,-3049
2.3594,-2216,-2921
2.3672,-2095,-2693
2.3750,-1791,-2717
2.3828,-1770,-2822
2.3906,-1902,-2518
2.3984,-1987,-2716
2.4062,-1993,-3103
2.4141,-1697,-3190
2.4219,-2093,-2744
2.4297,-1891,-3007
2.4375,-1687,-2779
2.4453,-1935,-2854
2.4531,-2637,-2704
2.4609,-2087,-3093
2.4688,-1764,-3017
2.4766,-1936,-3113
2.4844,-2266,-2826
2.4922,-2189,-2672
2.5000,-1792,-2776
2.5078,-1734,-3054
2.5156,-2243,-2837
2.5234,-2254,-3163
2.5312,-1971,-2920
2.5391,-1533,-2976
2.5469,-2122,-2912
2.5547,-2294,-2734
2.5625,-2070,-2971
2.5703,-2303,-2686
2.5781,-1908,-2895
2.5859,-1245,-2715
2.5938,-1254,-2954
2.6016,-2268,-3293
2.6094,-3033,-2946
2.6172,-1914,-2870
2.6250,-1256,-3644
2.6328,-1491,-3505
2.6406,-1291,-3274
2.6484,-1514,-3393
2.6562,-1541,-2657
2.6641,-1370,-3633
2.6719,-2517,-3079
2.6797,-2867,-2269
2.6875,-1306,-3776
2.6953,-801,-4488
2.7031,-1348,-2792
2.7109,-2051,-2213
2.7188,-2421,-2379
2.7266,-1219,-3815
2.7344,-1543,-4051
2.7422,-2631,-3545
2.7500,-2234,-3177
2.7578,-1409,-3562
2.7656,-2690,-2782
2.7734,-3279,-2667
2.7812,-2795,-2682
2.7891,-1969,-3958
2.7969,-2343,-3844
2.8047,-2449,-3096
2.8125,-2252,-2769
2.8203,-2233,-2847
2.8281,-2242,-3262
2.8359,-2302,-5009
2.8438,-2974,-3449
2.8516,-2576,-2616
2.8594,-1746,-4429
2.8672,-2436,-3859
2.8750,-2626,-2532
2.8828,-2949,-3766
2.8906,-2272,-3760
2.8984,-1904,-2958
2.9062,-3091,-2963
2.9141,-3021,-2997
2.9219,-1836,-3406
2.9297,-2240,-3842
2.9375,-3179,-2954
2.9453,-2858,-2676
2.9531,-1709,-4036
2.9609,-2827,-3299
2.9688,-2490,-3324
2.9766,-1483,-3293
2.9844,-1487,-3274
2.9922,-1390,-3040
3.0000,477,-3720
3.0078,-351,-3133
3.0156,-1030,-3316
3.0234,-34,-3478
3.0312,-586,-2693
3.0391,-1136,-3149
3.0469,-423,-3567
3.0547,-1250,-2729
3.0625,-1016,-2946
3.0703,233,-3726
3.0781,-919,-3171
3.0859,-1051,-3424
3.0938,-451,-3259
3.1016,-1776,-1831
3.1094,-1808,-2172
3.1172,-690,-3480
3.1250,-1640,-3035
3.1328,-785,-3492
3.1406,-647,-3530
3.1484,-2770,-1934
3.1562,-2076,-1971
3.1641,-446,-4197
3.1719,-1429,-3593
3.1797,-1693,-2004
3.1875,-1146,-3367
3.1953,-1907,-3345
3.2031,-1892,-2022
3.2109,-1458,-3079
3.2188,-2196,-3076
3.2266,-2064,-2939
3.2344,-1661,-3194
3.2422,-2125,-2568
3.2500,-2203,-2473
3.2578,-2200,-2587
3.2656,-1783,-2264
3.2734,-520,-3754
3.2812,-2009,-3228
3.2891,-2603,-1710
3.2969,-1647,-2931
3.3047,-1703,-3506
3.3125,-1989,-2325
3.3203,-1165,-3167
3.3281,-1859,-2868
3.3359,-2698,-2097
3.3438,-2327,-2482
3.3516,-2201,-2707
3.3594,-2319,-2342
3.3672,-2267,-2992
3.3750,-2364,-2883
3.3828,-2255,-2504
3.3906,-2426,-2693
3.3984,-2351,-2593
3.4062,-2372,-2756
3.4141,-2323,-2836
3.4219,-2447,-2648
3.4297,-2579,-2834
3.4375,-2803,-2700
3.4453,-2245,-2745
3.4531,-2696,-2371
3.4609,-2499,-2460
3.4688,-2737,-2379
3.4766,-2606,-2632
3.4844,-2775,-2359
3.4922,-2716,-2255
3.5000,-2530,-2727
3.5078,-2319,-2849
3.5156,-3014,-2143
3.5234,-2326,-3061
3.5312,-2695,-2508
3.5391,-2914,-1886
3.5469,-991,-4389
3.5547,-748,-4891
3.5625,-4158,-1100
3.5703,-3832,-1885
3.5781,-2901,-3257
3.5859,-3077,-2595
3.5938,-2691,-2607
3.6016,-1987,-3110
3.6094,-2722,-2503
3.6172,-2357,-3151
3.6250,-2593,-2845
3.6328,-2605,-2510
3.6406,-2678,-3102
3.6484,-2612,-3201
3.6562,-2803,-2379
3.6641,-2452,-3031
3.6719,-2666,-3037
3.6797,-2517,-2703
3.6875,-2457,-2663
3.6953,-2356,-2718
3.7031,-2370,-2760
3.7109,-2277,-3243
3.7188,-2546,-2642
3.7266,-2246,-2898
3.7344,-2538,-2837
3.7422,-2098,-2686
3.7500,-2470,-2493
3.7578,-2482,-3388
3.7656,-2444,-3207
3.7734,-2507,-2588
3.7812,-2567,-3063
3.7891,-2439,-3456
3.7969,-2654,-2979
3.8047,-2585,-3045
3.8125,-2619,-3247
3.8203,-2585,-2876
