registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,Welch,,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.6488872730289253,3.58148725883371,4.84304960486014,2.2150502360021345
L03041035,unilateral,Welch,,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6920089499421693,3.8284341460789,5.175878048737194,3.014640171891032
L03041035,unilateral,Welch,,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6827873988188681,3.7638073761189776,5.18268262037227,2.586550119386867
L03041035,unilateral,Welch,,rolling,base,unilateral,30,10,160,7.550731477111845,116340,0.723813181146804,3.7202902122904926,5.032721026627651,2.957048941574449
L04301923,derecha,CWT Morlet,0.5,ewm,ARTF2,bilateral,30,6,1095,15.208333333333332,365940,0.9803419568990417,4.069085108655682,4.418293537675787,3.7097400681225783
L04301923,derecha,CWT Morlet,0.5,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.9777218866210906,4.090124205356694,4.465334842375344,3.705907345466754
L04301923,derecha,CWT Morlet,0.5,rolling,ARTF2,bilateral,30,3,1095,15.208333333333332,366120,0.9783298530039068,4.089387732722406,4.440952877557795,3.716532879514673
L04301923,derecha,CWT Morlet,0.5,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9747484385251914,4.108020706627337,4.495418299778314,3.710798104905761
L04301923,derecha,CWT Morlet,1.5,ewm,ARTF2,bilateral,30,7,1095,15.208333333333332,365880,0.9803404998913545,3.0072389498035177,3.3259593660761535,2.5991408432828873
L04301923,derecha,CWT Morlet,1.5,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.9781699281198464,3.0374916272946626,3.38616345660364,2.6004126046547666
L04301923,derecha,CWT Morlet,1.5,rolling,ARTF2,bilateral,30,5,1095,15.208333333333332,366000,0.9787033783073785,3.0362914599968387,3.3567743077385663,2.6113025706322723
L04301923,derecha,CWT Morlet,1.5,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9755971261169648,3.0618543200696764,3.4268445238725147,2.6070895009842086
L04301923,derecha,CWT Morlet,3.0,ewm,ARTF2,bilateral,30,7,1095,15.208333333333332,365880,0.9802585740501865,2.711761080262878,3.0390432713092617,2.270124026272068
L04301923,derecha,CWT Morlet,3.0,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.978416472352504,2.7443566073435077,3.1016127070449513,2.282840505731556
L04301923,derecha,CWT Morlet,3.0,rolling,ARTF2,bilateral,30,5,1095,15.208333333333332,366000,0.9784970252649348,2.7444731133176186,3.074491702500831,2.282437177918948
L04301923,derecha,CWT Morlet,3.0,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9759125740676559,2.7697051334781038,3.14562494094824,2.28997115212983
L04301923,derecha,CWT Morlet,6.0,ewm,ARTF2,bilateral,30,7,1095,15.208333333333332,365880,0.9802851644788674,2.5075058864737936,2.8479235490323473,2.0336138771984134
L04301923,derecha,CWT Morlet,6.0,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.9787001891020685,2.5422134424592793,2.911520469139462,2.059488053257111
L04301923,derecha,CWT Morlet,6.0,rolling,ARTF2,bilateral,30,5,1095,15.208333333333332,366000,0.9781152040895104,2.5456028785935283,2.892112044509542,2.045599287788999
L04301923,derecha,CWT Morlet,6.0,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9760018609609968,2.56977110451699,2.961577930510853,2.0666812677850097
L04301923,derecha,CWT Morlet,12.0,ewm,ARTF2,bilateral,30,7,1095,15.208333333333332,365880,0.9802067100616166,2.339884150066419,2.6986831392059374,1.8360445790591913
L04301923,derecha,CWT Morlet,12.0,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.978764716024911,2.379089447213115,2.7653021989067983,1.879063471096684
L04301923,derecha,CWT Morlet,12.0,rolling,ARTF2,bilateral,30,5,1095,15.208333333333332,366000,0.9773173327171916,2.3852368867751257,2.7580648005845503,1.8479829731512414
L04301923,derecha,CWT Morlet,12.0,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9755345038826312,2.4101723229877123,2.8276931843949304,1.8861608632495594
