registro,lado,n,pearson,mae_db,rmse_db,sesgo_db,sd_error_db
L03041035,unilateral,1973,0.56997906089814,8.913688376404734,9.486660179605684,-8.913688376404734,3.2469802727554904
L05141322,izquierda,2603,0.725428851887894,6.923288015144845,7.175974341965061,-6.923288015144845,1.8875091565056474
L05141322,derecha,2712,0.7559252410276374,6.965380211728004,7.211542458595957,-6.965380211728004,1.8681068326517523
L04301923,izquierda,56995,0.8437162214445124,7.074538337891477,7.104477094950752,-7.074538337891477,0.6515382555027591
L04301923,derecha,55586,0.7795587712593058,6.950593482147231,6.992811046240612,-6.950593482147231,0.7672395808071653
