registro,modo,a_pearson,a_mae_db,a_rmse_db,a_sesgo_db,b_pearson,b_mae_db,b_rmse_db,b_sesgo_db,diferencia_a_b_media_db,totpow_pearson,totpow_mae_db,totpow_rmse_db,totpow_sesgo_db
L03041035,unilateral,0.726019995105694,3.7112665411102816,5.021854067376179,2.9516315712417684,0.7260199951056939,37.04836842875823,37.27047749324767,-37.04836842875823,40.0,0.6210026299948674,2.6879209882330906,3.394454834790109,-1.9856303644868316
L04301923,bilateral,0.9836273915169588,0.9260253597034087,1.6581342932406113,-0.13026743045852207,0.9836273915169589,40.13028174898743,40.16439650577675,-40.13026743045853,40.0,0.4815217928425829,6.876838095097623,7.020189767991461,-6.873608493605925
L05141322,bilateral,0.942790745074422,1.663718552737298,2.3340368599150043,0.695063430073588,0.942790745074422,39.30493656992641,39.367679634358026,-39.30493656992641,40.0,0.7787769674932226,3.9204461915291793,4.277356521825764,-3.909554298987837
