registro,modo,lado,canal_raw,filas_spa,spsmooth_s,shift_s,lofilter_hz,fa_media_db,fa_min_db,fa_max_db,fa_factor_almacenamiento,diferencia_a_b_media_db,diferencia_a_b_sd_db,diferencia_a_b_max_desvio_40_db,a_n,a_pearson,a_mae_db,a_rmse_db,a_sesgo_db,a_sd_error_db,b_n,b_pearson,b_mae_db,b_rmse_db,b_sesgo_db,b_sd_error_db,totpow_n,totpow_pearson,totpow_mae_db,totpow_rmse_db,totpow_sesgo_db,totpow_sd_error_db
L03041035,unilateral,unilateral,1,2119,30,10,2.5,80.26705931046253,55.61,103.02,100,40.0,8.662886015241584e-15,8.526512829121202e-14,117180,0.726019995105694,3.7112665411102816,5.021854067376179,2.9516315712417684,4.062867133155048,117180,0.7260199951056939,37.04836842875823,37.27047749324767,-37.04836842875823,4.062867133155048,1953,0.6210026299948674,2.6879209882330906,3.394454834790109,-1.9856303644868316,2.753106550981607
L05141322,bilateral,izquierda,1,2712,30,6,2.5,76.65810701415703,55.75,98.29,100,40.0,8.220761016532099e-15,2.842170943040401e-14,155400,0.9396725169622384,1.590177964800591,2.293262715884652,0.5218867963984463,2.2330893524020974,155400,0.9396725169622386,39.47811320360156,39.54122039305554,-39.47811320360156,2.233089352402097,2590,0.7600434667776792,4.031615182126894,4.391334373413501,-4.014783338078713,1.7791380855370649
L05141322,bilateral,derecha,3,2712,30,6,2.5,76.24224713493531,57.63,101.07,100,40.0,8.186022738049987e-15,2.842170943040401e-14,162300,0.9459089731866054,1.7372591406740052,2.374811003945357,0.8682400637487296,2.210404147698234,162300,0.9459089731866052,39.13175993625127,39.19413887566051,-39.13175993625127,2.210404147698234,2705,0.7975104682087658,3.8092772009314646,4.163378670238028,-3.8043252598969617,1.6913992044171264
L04301923,bilateral,izquierda,1,60809,30,6,2.5,65.14116404430442,35.25,97.08,100,40.0,5.825142895619116e-15,2.842170943040401e-14,3409140,0.9870530061999696,0.8624089180252505,1.529705983813521,-0.22844249447525108,1.512552287900427,3409140,0.9870530061999696,40.22847113153308,40.25686773651094,-40.228442494475274,1.5125522879004274,56819,0.5918271146061411,7.232468152993281,7.348299266714555,-7.226909636403659,1.3301425564403326
L04301923,bilateral,derecha,3,60809,30,6,2.5,68.6039601246556,35.03,101.04,100,40.0,6.5287435885194286e-15,2.842170943040401e-14,3324360,0.9802017768339479,0.989641801381567,1.7865626026677015,-0.03209236644179304,1.7862743387472593,3324360,0.9802017768339482,40.03209236644179,40.07192527504255,-40.03209236644179,1.7862743387472595,55406,0.3712164710790246,6.5212080372019665,6.6920802692683665,-6.52030735080819,1.506496060840409
