registro,modo,lado,metodo,bandwidth_B,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,unilateral,Welch,,30,0,117540,0.6827389924148433,3.8676101193590866,5.308337005623235,2.998662918768721
L03041035,unilateral,unilateral,Welch,,30,1,117420,0.6890650983616478,3.843042611121999,5.268848296061116,2.9947133637285868
L03041035,unilateral,unilateral,Welch,,30,2,117300,0.6950652445824462,3.81928219107838,5.2306961540442325,2.990248522564584
L03041035,unilateral,unilateral,Welch,,30,3,117180,0.7008775677367663,3.796398569002842,5.19303357276204,2.98600999060262
L03041035,unilateral,unilateral,Welch,,30,4,117060,0.7062969922529241,3.7753763799498175,5.157532859576229,2.9822745248581124
L03041035,unilateral,unilateral,Welch,,30,5,116940,0.7111356044635727,3.757159695899643,5.1257799195053675,2.9783809076566414
L03041035,unilateral,unilateral,Welch,,30,6,116820,0.7153785956355331,3.7415900193075635,5.096887136962439,2.9733908271174228
L03041035,unilateral,unilateral,Welch,,30,7,116700,0.718828714204456,3.729785220346987,5.07252900103956,2.968403972058328
L03041035,unilateral,unilateral,Welch,,30,8,116580,0.7214212856148624,3.7218348037207414,5.053105468621487,2.9633739973268014
L03041035,unilateral,unilateral,Welch,,30,9,116460,0.723110259917598,3.7185031121443703,5.039565691469396,2.9596126449312097
L03041035,unilateral,unilateral,Welch,,30,10,116340,0.723813181146804,3.7202902122904926,5.032721026627651,2.957048941574449
L03041035,unilateral,unilateral,Welch,,30,11,116220,0.7236029617104193,3.7261360265548453,5.031350275518146,2.9545971079978615
L03041035,unilateral,unilateral,Welch,,30,12,116100,0.7224754349088293,3.735724365601054,5.034957177537103,2.9514038957393316
L03041035,unilateral,unilateral,Welch,,30,13,115980,0.7203869560908817,3.7494965205994313,5.044305765492454,2.948614907120275
L03041035,unilateral,unilateral,Welch,,30,14,115860,0.7173681490566641,3.7678151555333397,5.060343279030803,2.9479902337003163
L03041035,unilateral,unilateral,Welch,,30,15,115740,0.7135354669696388,3.789465606290938,5.081766105248793,2.9484761828664894
