registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L05141322,bilateral,izquierda,Welch,30,2,155880,0.9373591764727913,1.6228304693251527,2.333159232498979
L05141322,bilateral,izquierda,Welch,30,3,155760,0.9383367956039198,1.6062780792429099,2.3161961872018697
L05141322,bilateral,izquierda,Welch,30,4,155640,0.9391006516996003,1.5942818156382736,2.3029250777130295
L05141322,bilateral,izquierda,Welch,30,5,155520,0.9395681359583953,1.5884352296714936,2.294866016646565
L05141322,bilateral,izquierda,Welch,30,6,155400,0.9396725169622384,1.590177964800591,2.293262715884652
L05141322,bilateral,izquierda,Welch,30,7,155280,0.9394043971268339,1.599262768848617,2.2983091757452714
L05141322,bilateral,izquierda,Welch,30,8,155160,0.9387664738776782,1.615345449074458,2.309894776863415
L05141322,bilateral,izquierda,Welch,30,9,155040,0.9377768840712354,1.6374903906003275,2.327636813249582
L05141322,bilateral,izquierda,Welch,30,10,154920,0.9364549220068196,1.6647305910950267,2.351017939712222
L05141322,bilateral,izquierda,Welch,30,11,154800,0.9348237133050578,1.6962600744276364,2.3794917519991805
L05141322,bilateral,izquierda,Welch,30,12,154680,0.9329087198797863,1.731183370509718,2.4124594831448447
L05141322,bilateral,izquierda,Welch,30,13,154560,0.9307362479726826,1.7686425060127688,2.4492497996804574
L05141322,bilateral,izquierda,Welch,30,14,154440,0.9283418699481544,1.8078670400793035,2.4891409131716573
L05141322,bilateral,izquierda,Welch,30,15,154320,0.9257590408671269,1.8483963209962622,2.5314467594212884
L05141322,bilateral,izquierda,Welch,30,16,154200,0.9230179995541432,1.8895961047020235,2.575548984989752
L05141322,bilateral,izquierda,Welch,30,17,154080,0.9201486742269895,1.930979949798546,2.620870391099078
L05141322,bilateral,izquierda,Welch,30,18,153960,0.9171807747375332,1.972014031394526,2.666913327766541
L05141322,bilateral,izquierda,Welch,30,19,153840,0.9141422133425098,2.0128850471169955,2.713238375743379
L05141322,bilateral,izquierda,Welch,30,20,153720,0.9110573185503058,2.0535297058536126,2.7594828781278036
L05141322,bilateral,izquierda,Welch,30,21,153600,0.9079466483290267,2.0935226295749243,2.8053393224201932
L05141322,bilateral,izquierda,Welch,30,22,153480,0.9048318821509146,2.132554926668951,2.8505068195937335
L05141322,bilateral,izquierda,Welch,30,23,153360,0.9017314300424067,2.1705269851756896,2.8947518021851715
